Code,Product Title
234,Toasters (excluding toaster ovens)
270,Ice crushers
274,Ice cream makers
413,"Waste containers, trash baskets or refuse bins"
480,Manual cleaning equipment (excluding buckets or pails)
547,"Sound recording, reproducing or receiving equipment, not specified"
611,Bathtubs or showers (including fixtures or accessories
623,Butane or LP gas meters
663,Fireplace equipment
693,Footlockers
877,Trouble lights or extension work lights
893,"Tools, not specified"
895,"Power saws, other or not specified"
959,"Polishes, not specified"
962,Diesel fuels
970,Wallpaper cleaners (chemical)
984,"Solvents, other or not specified"
1053,Fertilizers and other chemicals for outdoor use (excluding pesticides)
1137,"Paper products (excluding bags, cups, straws and cardboard products)"
1239,"Horseback riding (activity, apparel or equipment)"
1414,"Garden hoses, nozzles or sprinklers"
1506,Baby gates or barriers
1513,Playpens and play yards
1562,Other soft baby carriers
1644,Nightwear
1678,Bath or facial cleansing brushes
1934,Hot water
1936,BBs or pellets
3255,"Ice skating (activity, apparel or equipment)"
4002,"Bedding, not specified"
5016,"Balls, other or not specified"
223,Electric griddles
311,Oil furnaces (excluding floor furnaces)
436,"Potholders, oven mitts or hot pads"
452,"Coffee makers or teapots, not specified"
460,Metal cookware (nonelectric
469,Slicers and choppers
555,Radios (self-contained units
680,"Convertible beds, hideaway beds or sofa beds"
827,Hammers
886,Stretch cords or stretch straps
913,Lubricants
926,Photographic chemicals
930,"Ammonia, household"
1244,"Monkey bars, playground gyms or other playground climbing apparatus"
1313,Fireworks
1344,Toy musical instruments
1398,"Wheeled riding toys, unpowered (excluding bicycles and tricycles)"
1615,Footwear
1669,Pins and needles (excluding safety pins and knitting needles)
1711,Christmas tree lights
1719,Lunch boxes or pails
1729,Christmas decorations (nonelectric)
1744,"Motorized vehicles, not elsewhere classified (three or more wheels)"
1886,Garage doors (excluding automatic garage doors or door openers)
2300,School equipment
3229,Electric grills
3254,"Cheerleading (activity, apparel or equipment"
4047,"Books, magazines, albums or scrapbooks"
4067,"Clocks, not electric or not battery operated or not specified"
4084,Residential alternative energy systems for on-site power generation
5042,"Scooters/skateboards, powered"
133,Other water heaters
334,"Gas-burning fireplaces, factory built"
379,Radiators (excluding vehicle radiators)
388,"Electric heaters, not elsewhere classified"
545,Amateur two-way radios
805,Power lathes
820,Internal combustion engines (nonvehicular)
834,Heavy-duty workshop staplers
842,Band saws
961,Rust preventatives
1212,"Golf (activity, apparel or equipment)"
1213,"Golf carts, motorized vehicle"
1338,Toy bows or arrows
1447,"Pruning or trimming equipment, not specified"
1535,Potty chairs or training seats (for children)
1539,Shoelace fasteners (for infants)
1684,"Carts, other or not specified"
1871,Fences or fence posts
1895,Tree stands (hunting)
3224,Other guns or firearms
4013,Other furniture
4039,Other electric lighting equipment
4070,"Floor lamps or table lamps, halogen"
5036,"Two-wheeled, powered, off-road vehicles (incl. dirt bikes and trail bikes"
279,Gas ranges or ovens
280,Other ranges or ovens
380,Fans
531,Recording tapes
549,Projectors
556,Tape recorders or players (self-contained units)
648,Sinks (excluding faucets)
652,"Pictures, picture frames or wall decorations"
670,"Chair, recliner"
706,"Lightning rods or arresters, antenna discharge units or other grounding devices"
823,Air compressors (separate)
854,Workshop furnishings
868,Nonelectric soldering equipment
870,"Awls, chisels or planes"
965,"Fuel oils, not specified"
1260,"Billiards or pool (activity, apparel or equipment)"
1277,Swimming pool slides
1333,Skateboards
1460,"Insect traps, powered"
1557,Baby bathtub seats or rings (not toys)
1935,Gunpowder or ammunition (excluding BBs and pellets)
3272,"Hockey (activity, apparel or equipment), not specified"
3273,"Playground equipment, not specified"
4051,Sheets or pillowcases
4057,"Tables, not elsewhere classified (excl. baby changing tables, billiard or pool tables and television tables or stands)"
115,Vacuum cleaners
214,Dishwashers
232,Electric scissors
322,"Furnaces, other or not specified"
417,Flatware (excluding knives)
422,Bottle openers
574,"Remote control, universal or not stated (excl. remote controls for toys)"
808,Power shapers
879,Vises or workshop clamps
888,"Sprayers, not elsewhere classified"
915,Methyl alcohol
955,"Automotive chemicals (excluding antifreeze, lubricants, waxes and windshield wiper fluids)"
973,Liquid room deodorizers or fresheners
981,Gasoline cans
1134,Other glass bottles or jars
1237,"Gas, air or spring-operated guns (including BB guns)"
1345,Building sets
1466,"Decorative water features, including man-made ponds and fountains"
1520,Baby exercisers
1625,Lighted make-up mirrors
1840,Pull-down or folding stairs
1887,Tool sheds
1893,"Doors, other or not specified"
1927,"Liquid drugs (excluding aspirin, aspirin substitutes, iron preparations and antihistamines)"
3221,Above-ground swimming pools (excluding portable pools)
3248,Gas or LP grills or stoves (for outdoor use)
3259,Go-carts
5006,Other toy guns
5029,"Camping equipment (excl. trailers, lighting equipment, sleeping bags, cots, hammocks, coolers, stoves and heaters)"
106,Electric clothes dryers without washers
112,Sewing machines or accessories
113,Floor buffers or waxers
216,"Electric counter-top ovens, broilers or toaster ovens"
462,Chafing dishes or fondue pots
465,Other cookware
466,"Cookware, not specified"
471,Food grinders
704,Burglar alarms
710,Electric timers
809,Other portable or stationary power tools
843,Radial arm saws
869,Glue guns
933,Turpentine
983,Soaps (excluding laundry soaps or detergents)
1127,Nonglass bottles or jars (excluding baby bottles)
1211,"Football (activity, apparel or equipment)"
1293,Amusement attractions (including rides)
1301,Tricycles (children's)
1395,"Toys, not specified"
1399,Toy guns with projectiles
1431,Grass and leaf catchers (attachments for lawn mowers)
1561,Framed baby carriers (carried on the back)
1651,"Combs, not specified"
1715,Pet supplies (excluding foods and medicines)
1718,Flares
1889,"Elevators or other lifts (excl. escalators, hoists, jacks, forklifts and automotive lifts)"
3249,"Grills, not specified"
3253,"Guns, not specified"
4008,Nonelectric blankets
4055,"Drapery or curtain rods, hooks or rings"
4071,"Floor lamps or table lamps, electric (excluding halogen lamps)"
102,Wringer washing machines
240,Electric knife sharpeners
275,Food processors
307,Air purifiers
372,"Brick, stone or masonry chimneys"
427,Ice picks
431,Toothpicks or hor d'oeuvres picks
552,"Antennas, not specified"
569,Art and ceramic supplies or equipment (excl. paintbrushes)
671,"Chair, rocking"
830,Hand saws
874,Cutting torches
927,Tapes (with adhesive surfaces)
1310,Pogo sticks
1319,Metal or plastic molding sets
1390,"Toy guns, not specified"
1394,"Dolls, plush toys, and action figures"
1439,"Lawn mowers, not specified"
1461,Leaf blowers
1463,"Brushcutters, powered"
1646,Outerwear
1683,Hair clippers and trimmers
1738,"Public equipment, not elsewhere classified (including conveyor belts, signs)"
1803,Thermal or sound insulation materials
1812,"Gutters, drainpipes, downspouts or run-off pipes"
1870,Windowsills or frames
1890,Escalators
1897,Drywall in a completed structure
1926,Pesticides
3200,"Water tubing (activity, apparel or equipment)"
3285,All-terrain vehicles (three wheels only
4802,"Straps, non-stretch, other, or not specified"
5001,Other toy weapons (projectile)
136,Drinking fountains
401,Nonelectric can openers
420,Manual scissors
529,"Telescopes, binoculars, microscopes or magnifying glasses"
576,Video players and recorders (excl. cameras)
649,Toilets
667,"Bedspreads, throws or comforters"
698,Hot tubs or home spas
711,Fire escape devices (excluding ladders)
852,Rope or string (excluding mountain climbing or jump ropes and kite strings)
899,"Workshop grinders, buffers, or polishers, not specified"
909,Adhesives (excluding tapes)
921,"Chemicals, not elsewhere classified"
969,Lye
1145,Other specified plastic products
1242,Slides or sliding boards (excluding swimming pool slides)
1328,Wagons (children's)
1402,Manual push mowers (unpowered)
1403,Other unpowered garden tools
1465,"Decorative yard equipment, excluding water features"
1524,Baby harnesses
1602,Hair dryers
3261,"Shuffleboard (activity, apparel or equipment)"
5037,Hammocks
137,Automatic doors or door openers (excluding garage doors)
271,Juicers
378,"Chimneys, not specified"
419,"Tie racks, belt racks or other clothes hangers"
478,"Drinking glasses, cups, and mugs"
609,Glass bathtub or shower enclosures
661,Bunk beds
672,Laundry hampers
875,Jigsaws
885,"Chains, not elsewhere classified"
942,Oven cleaners
960,"Paints, varnishes or shellacs"
975,"Room deodorizers or fresheners, not specified"
1112,"Metal containers (excluding aerosols, trash and gasoline cans)"
1114,Cardboard products
1290,"Snowmobiles (activity, apparel or equipment)"
1432,Animal traps
1441,Lawn vacuums
1622,Watches
1623,Luggage (excluding foot lockers)
1819,"Nails, screws, carpet tacks or thumbtacks -> Nails, screws, tacks or bolts"
1826,Storm windows
1857,Artificial turf
1884,Ceilings and walls (interior part of completed structure)
3202,Pedal-powered adult vehicles (three or more wheels)
4010,"Mattresses, not specified"
4050,Pillows (excluding water pillows)
237,Garbage disposers
281,"Ranges or ovens, not specified"
384,Floor furnaces (built into floor)
421,Nonelectric knife sharpeners
620,Step stools
654,"Knickknacks, statues, vases or urns"
689,"Blankets, not specified"
699,Faucets or spigots
968,Caustics (excluding lye)
1116,Containers with key openers
1207,"Boxing (activity, apparel or equipment)"
1401,"Power lawn mowers, not specified"
1453,Other manual pruning or trimming equipment
1664,Electric razors or shavers
1688,Fuel multi-purpose lighters (incl. micro torches)
1736,Electric Christmas decorations (excluding Christmas tree lights)
1741,Tarpaulins
1843,Ramps or landings
1854,Plastic panels for doors or windows
1899,Carbon monoxide poisonings (when source is unknown)
1913,"Cosmetics, including facial and eye make-up, deodorants, hair preparations, nail polish and removers, bath oils, skin creams and lotions, etc."
1915,Liniments or rubbing compounds
3203,"Skeet shooting (activity, apparel or equipment"
3246,Swings or swing sets (excluding portable baby swings)
3279,Flotation toys (excluding official life-saving devices)
4076,"Beds or bedframes, other or not specified"
5010,Crayons or chalk (excluding billiard or pool chalk)
5015,"Toy caps, cap toys or cap guns"
5017,Flying discs and boomerangs
107,Gas clothes dryers without washers
125,Water softeners or conditioners (appliances)
139,Incinerators
264,Microwave ovens
305,Vaporizers
412,Pressure cookers or canners
429,Food skewers
434,Doorstops
464,"Knives, not elsewhere classified"
546,Stereo or hi-fi components or accessories (excluding self-contained units)
557,Computers (equipment and electronic games)
604,"Desks, dressers, chests, bureaus, or buffets"
638,"Window shades, venetian blinds or indoor shutters"
685,Extension cords
964,Lamp oils
1139,Aluminum foil wrapping products
1270,"Wrestling (activity, apparel or equipment)"
1272,"Gymnastics (activity, apparel or equipment"
1275,"Scuba diving (activity, apparel or equipment)"
1278,Diving or diving boards
1449,Manual hedge trimmers
1454,Other power pruning or trimming equipment
1455,"Manual pruning or trimming equipment, not specified"
1462,"Pumps, not elsewhere classified"
1526,Crib mobiles or crib gyms
1531,Baby carriers (bicycle-mounted)
1542,Baby mattresses or pads
1551,Diaper fasteners (excluding safety pins)
1679,Grocery or shopping carts
1728,Matchbooks
1928,Antihistamines
3296,All-terrain vehicles (more than four wheels
5021,Toy vehicles (excluding riding toys)
140,"Washing machines, other or not specified"
222,Electric frying pans and skillets
242,Electric immersion water heaters
316,"Wood burning fireplaces, factory built"
373,"Metal chimneys, stovepipes or flues"
391,Portable gas or LP heaters
530,Phonograph records
533,Lapidary equipment
566,"Musical instruments, not electric or not battery operated or not specified"
567,Coaxial Cable
707,"Padlocks, chain locks or other locks"
712,Carbon monoxide detectors
829,Manual drills
940,Lighter fluids
1326,"Blocks, stacking toys or pull toys"
1634,Heat or infrared lamps
1690,"Multi-purpose lighters, not specified"
